source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","e859d740-c392-4afe-aa81-23e29035d95d","dr-john-cecilia-keller-scholarship-2c1upgazi01a","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","e859d740-c392-4afe-aa81-23e29035d95d","dr-john-cecilia-keller-scholarship-2c1upgazi01a","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","ffc92ffc-3f15-4dec-aa2f-a8e7d3fba6f4","sharon-lehayne-vause-scholarship-gnmibiofbssj","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","ffc92ffc-3f15-4dec-aa2f-a8e7d3fba6f4","sharon-lehayne-vause-scholarship-gnmibiofbssj","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","3a7bff37-a4f5-401b-9f6b-611bec6e4cb1","scott-tazumi-scearce-cyber-security-scholarship-0mf73ekearg4","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","3a7bff37-a4f5-401b-9f6b-611bec6e4cb1","scott-tazumi-scearce-cyber-security-scholarship-0mf73ekearg4","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","53ed7b6b-c42d-4d08-abce-e5d02d5999e1","rotary-club-of-tallahassee-leon-gilchrist-habitat-scholarship-ahwabpyg9j3q","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","53ed7b6b-c42d-4d08-abce-e5d02d5999e1","rotary-club-of-tallahassee-leon-gilchrist-habitat-scholarship-ahwabpyg9j3q","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","6840ca38-2161-4782-8947-ff52593b780d","sharon-jefferson-endowed-scholarship-2agmq4c5ydjk","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","6840ca38-2161-4782-8947-ff52593b780d","sharon-jefferson-endowed-scholarship-2agmq4c5ydjk","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","ce1759db-41ee-42ab-b689-659d720c21d9","marshall-cassedy-pay-for-grades-scholarship-3dycz7myq8eq","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","ce1759db-41ee-42ab-b689-659d720c21d9","marshall-cassedy-pay-for-grades-scholarship-3dycz7myq8eq","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
