id,title,provider,similarity_score,matched_id,matched_title,reason
492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,University of Bath,1,db18d46a-f494-4ea6-b6ec-a6feaa7a724c,Chevening Scholarship,jaccard_words:1.000
492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,University of Bath,1,dbe03ad0-2e34-49de-a4b6-d81ca13b4a9c,Chevening Scholarships,jaccard_words:1.000
492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,University of Bath,1,df99f7e5-11a0-40d8-a4f7-4a5cf63d1d12,Chevening Scholarship,jaccard_words:1.000
492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,University of Bath,1,f86d59c8-5f5d-4f92-917e-84cd73002f67,Chevening Awards,jaccard_words:1.000
748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,"Birkbeck, University of London",1,7f5c75c5-0c1d-4568-a559-1f9715a74b08,Chevening Scholarships,jaccard_words:1.000
748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,"Birkbeck, University of London",1,833adc37-2190-441b-b949-dfc10fc2d817,Chevening Scholarships,jaccard_words:1.000
748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,"Birkbeck, University of London",1,cb04a78d-2bff-42a2-906b-ff98f63a2169,Chevening Scholarships,jaccard_words:1.000
748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,"Birkbeck, University of London",1,db18d46a-f494-4ea6-b6ec-a6feaa7a724c,Chevening Scholarship,jaccard_words:1.000
748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,"Birkbeck, University of London",1,dbe03ad0-2e34-49de-a4b6-d81ca13b4a9c,Chevening Scholarships,jaccard_words:1.000
748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,"Birkbeck, University of London",1,df99f7e5-11a0-40d8-a4f7-4a5cf63d1d12,Chevening Scholarship,jaccard_words:1.000
